epoch,avg_loss,min_loss,max_loss
1,3.2302,0.0175,8.7358
2,2.9232,0.0984,9.0731
3,2.9583,0.0858,10.9162
4,2.8611,0.0751,10.7798
5,2.7752,0.074,11.3778
6,2.7119,0.0274,8.4063
7,2.7827,0.0569,8.2357
8,2.6727,0.0334,8.7634
9,2.4732,0.0161,7.49
10,2.2465,0.0664,9.3541
11,1.9177,0.0776,6.8847
12,1.8858,0.0423,6.6816
13,1.8581,0.0528,7.1447
14,1.7249,0.025,6.2241
15,1.7011,0.0415,7.5405
16,1.5763,0.0291,5.2236
17,1.5173,0.0609,6.5673
18,1.5162,0.0746,6.2391
19,1.4963,0.0518,9.1049
20,1.4821,0.0305,5.6611
21,1.501,0.0541,12.8788
22,1.4064,0.0578,5.2077
23,1.382,0.0465,8.1974
24,1.1056,0.0715,5.7372
25,1.146,0.0219,5.5443
26,1.151,0.0388,5.8729
27,1.1458,0.0812,9.3944
28,1.0026,0.051,4.6131
29,1.0596,0.0768,6.0478
30,1.0549,0.0321,5.2986
31,1.078,0.0404,4.6424
32,1.0696,0.0623,4.69
33,0.9582,0.0883,3.8606
34,0.9196,0.086,4.7021
35,0.8542,0.0741,4.4263
36,0.885,0.0612,6.7768
37,0.8982,0.0564,4.6864
38,0.8369,0.0727,3.6954
39,0.8211,0.0869,4.4374
40,0.8104,0.0835,4.3884
41,0.8238,0.044,4.5553
42,0.8718,0.0385,4.0786
43,0.8209,0.0953,4.234
44,0.8457,0.0873,4.0436
45,0.8545,0.0818,8.0041
46,0.7748,0.0515,4.1704
47,0.8123,0.0928,5.1455
48,0.7378,0.0876,3.4114
49,0.7022,0.0967,3.3925
50,0.734,0.0894,4.1766
